English,Farsi,Source
"The virus causes a high fever lasting two to six days, followed by blisters inside the mouth and on the feet that may rupture and cause lameness.
","این ویروس عامل بیماری در ابتدا به مدت دو تا سه روز تب شدید ایجاد نموده و متعاقباً تاولهایی در داخل دهان و روی پا ظاهر می‌شود که ممکن است پاره شده و موجب لنگش حیوان شود.
",ELRC_2922
"On 22 February, the government established a lockdown for eleven municipalities in Lombardy and Veneto.
","در ۲۲ فوریه، دولت یازده شهر در لمباردی و ونتو را قرنطینه کرد.
",ELRC_2922
"Bacteria inside the granuloma can become dormant, resulting in latent infection.
","باکتری‌ها در داخل گرانولوم می‌توانند ساکت بمانند، که منجر به عفونت نهفته می‌شود.
",ELRC_2922
"The Norwegian Directorate of Health introduced a number of measures from Thursday 12 March 2020:
","اداره بهداشت نروژ از پنجشنبه 12 مارس 2020 اقدامات بسیاری را انجام داد:
",ELRC_2922
"Sometimes, influenza may have abnormal presentations, like confusion in the elderly and a sepsis-like syndrome in the young.
","در بعضی اوقات ممکن است آنفلوانزا به‌طریقی غیر عادی نمود پیدا کند، مثلاً در افراد مسن ممکن است گیجی و پریشانی دیده شود، و یا در افراد جوان به‌شکل یک نشانگان مشابه سپتیسمی پدیدار شود.
",ELRC_2922
"Then, the equation can be rearranged to place p by itself as follows:
","سپس می‌توان دوباره معادله را تنظیم کرد تا p به صورت زیر قرار گیرد:
",ELRC_2922
"Sports and cultural events and gatherings are banned and restrictions apply to restaurants.
","رویدادها و گردهمایی‌های ورزشی و فرهنگی ممنوع است و محدودیت‌ها در مورد رستوران‌ها اعمال می‌شود.
",ELRC_2922
"The providers of the telephone health advice service are the states of Austria, the umbrella organisation of social insurance and the Federal Ministry of Social Affairs, Health, Care and Consumer Protection.
","ایالت های فدرال ، سازمان چتر موسسات بیمه های اجتماعی و وزارت امور اجتماعی ، بهداشت ، پرستاری و حمایت از مصرف کننده مسئولیت خدمات مشاوره سلامت تلفنی را بر عهده دارند.
",ELRC_2922
"New World monkeys such as the owl monkey are resistant to HIV-1 infection, possibly because of a genomic fusion of two viral resistance genes.
","پخ‌بینیانی مانند میمون شب نسبت به ویروس HIV-۱ مقاوم هستند و این احتمالاً به دلیل یک نوع ژن پیوندی دو گونه مقاوم ویروس در آن‌ها می‌باشد.
",ELRC_2922
"According to the CDC, isolation is the act of separating a sick individual with a contagious disease from healthy individuals without that contagious disease in order to protect the general public from exposure of a contagious disease.
","جداسازی (Isolation) به معنای مجزا کردن شخصی در دوره قابلیت سرایت که مبتلا به بیماری قابل انتقال باشد و به منظور جلوگیری از انتقال مستقیم یا غیرمستقیم بیماری به دیگران می‌باشد.
",ELRC_2922
