English,Farsi,Source
"Includes Gmail, Google Docs, Google+, YouTube and Picasa
","شامل جیمیل، اسناد گوگل، گوگل+، یوتوب و پیکازا
",Ubuntu
"Usage:
","كاربرد
",Ubuntu
"\t%s acl pathname...
","\t%sمسير acl
",Ubuntu
"locale noexpr
","آرگومان غیرمجاز به گزینه locale noexpr
",Ubuntu
"locale yesexpr
","locale yesexpr
",Ubuntu
"--help"" and ""--version
","--help"" and ""--version
",Ubuntu
"AisleRiot Solitaire
","بازی با ورق تک نفره‌‌ی AisleRiot
",Ubuntu
"Play many different solitaire games
","بازی‌های مختلف یک نفره بازی کنید
",Ubuntu
"solitaire;cards;klondike;spider;freecell;patience;
","تک نفره;کارت;کلوندایک;اسپایدر;فری سل;صبر;
",Ubuntu
"Theme file name
","نام پرونده‌ی تم
",Ubuntu
"The name of the file with the graphics for the cards.
","نام پرونده‌ی گرافیک کارت‌ها.
",Ubuntu
"Whether or not to show the toolbar
","این که نوار ابزار نشان داده شود یا نه
",Ubuntu
"Whether or not to show the status bar
","این که نوار وضعیت نشان داده شود یا نه
",Ubuntu
"Select the style of control
","انتخاب سبک کنترل
",Ubuntu
"Select whether to drag the cards or to click on the source then the destination.
","انتخاب این که کارت‌ها کشیده شوند یا این که اول روی مبداء و بعد روی مقصد کلیک شود
",Ubuntu
"Sound
","صدا
",Ubuntu
"Whether or not to play event sounds.
","این که صدای رویدادهای پخش شود یا نه.
",Ubuntu
"Animations
","پویانمایی‌ها
",Ubuntu
"Whether or not to animate card moves.
","اینکه از پویانمایی در حرکت کارتها استفاده شود یا نه.
",Ubuntu
"The game file to use
","پرونده‌ی بازی مورد استفاده
",Ubuntu
"The name of the scheme file containing the solitaire game to play.
","نام پرونده‌ی شِمای حاوی بازی‌های یک نفره برای بازی.
",Ubuntu
"Statistics of games played
","آمار بازی‌های انجام شده
",Ubuntu
"A list of strings that come in the form of a quintuple: name, wins, total games played, best time (in seconds) and worst time (also in seconds). Unplayed games do not need to be represented.
","فهرستی از رشته‌ها که به شکل پنج‌تایی هستند: نام، بردها، ‌مجموع بازی‌های انجام شده، بهترین زمان (به ثانیه) و بدترین زمان (آن هم به ثانیه). باز‌‌ی‌های بازی نشده نمایش داده نمی‌شوند.
",Ubuntu
"Recently played games
","بازی‌های به‌تازگی بازی شده
",Ubuntu
"A list of recently played games.
","یک فهرست از بازی‌های به‌تازگی بازی شده.
",Ubuntu
"New Game
","بازی جدید
",Ubuntu
"Change Game
","تغییر بازی
",Ubuntu
"Statistics
","آمار
",Ubuntu
