English,Persian,Source
send a link to your video along with your contact information to infopankki by emailing infopankki,لینک مربوط به ویدیوی و اطلاعات تماس خود را به سایت به ادرس ارسال کنید,infopankki
we look forward to receiving videos from people from all walks of life different professions as well as students,امیدواریم که این ویدیو ها توسط اقشار مختلف مردم که دارای شرایط زندگی مختلف بوده از گروههای کاری و شغلی گوناگون میباشند و یا دانشجو هستند ارسال شوند,infopankki
we are hoping for entries that show emotion intelligence wit and humour,امیدواریم که ویدیو های ارسالی مهیج تیزهوشانه عاقلانه و جالب و سرگرم کننده باشند,infopankki
competition entries will be accepted until,مهلت شرکت در این مسابقه تا 1 12 2013 می باشد,infopankki
credits,مقررات,infopankki
indicate at the end of your video the names of all the people involved in making the video,اطلاعات مربوط به تهیه کننده اثر,infopankki
if the video was made by several people the final credits should also name one person in charge who is at least 15 years old and who is responsible for acquiring any permits possibly needed in the making of the video and the appropriateness of any such permits the same person also assumes responsibility for the appropriate use of any material subject to third party copyrights and is liable for meeting any copyright compensations and claims,در انتهای ویدیو نام تمام افرادی را که در فیلم بوده اند را درج کنید و اگر در تهیه این ویدیو چندین نفر شرکت داشته اند بایستی در انتهای تکست نام فردی را که بیشتر از 15 سال سن دارد و در نهایت مسیولیت کسب مجوزهای مربوط به ویدیو و مناسب بودن ان و استفاده مناسب و اصولی از مطالبی که شامل قانون کپی رایت بوده و برای تکثیر و انتشار ان نیاز به کسب مجوز از مولف و یا ناشر اصلی ان می باشد را داشته و همچنین به کار تهیه لباس نیز رسیدگی می کند را ذکر کنید,infopankki
copyrights,حقوق مربوط به طبع و نشر مطالب,infopankki
do not use any material subject to third party copyrights in your video such material includes for example background music and images,در تهیه ویدیو از مطالبی همانند موسیقی متن و یا عکسهایی که تکثیر انها مجاز نبوده و شامل قانون کپی رایت میشوند استفاده نکنید,infopankki
please note that the person entering the video into the competition is responsible for making sure that the video or any part of it is not in violation of third party copyrights trademark rights or other immaterial rights,توجه داشته باشید که فرد تهیه کننده اثری که در مسابقه شرکت داده میشود مسیولیت دارد که موسیقی یا تصاویر و عکسهای استفاده شده در اثر ارسالی و یا در بخشی از ان باعث نقص حقوق شخص ثالث نقض قانون مربوط به استفاده از علایم تجاری و نقض حقوق مالکیت معنوی نشوند,infopankki
the competition organiser is not responsible for any claims made by third parties pertaining to videos containing the use of material contrary to agreement plagiarism misrepresentation distribution or any other such cause,برگزار کننده مسابقه پاسخگوی ادعاهای اشخاص ثالث که ناشی از استفاده غیر مجاز از مطالب کپی کردن تغییر دادن توزیع کردن و موارد دیگر مشابه هستند نمی باشد,infopankki
