English,Persian,Source
all texts that have been published on the infofinland website in all languages are freely available to be used according to the creative commons attribution 40 licence,تمام مطالب و متونی که به هر زبانی در صفحات اینترنتی منتشر شده اند را می توان مطابق با پروانه 4 0 مورد استفاده قرار داد,infopankki
you are free to,شما اجازه دارید,infopankki
share copy and redistribute the material in any medium or format,به اشتراک بگذارید از مطالب نسخه برداری کنید و ان را در هر رسانه یا قالبی توزیع نمایید,infopankki
adapt remix transform and build upon the material for any purpose even commercially,تغییر دهید مطالب را ترکیب کنید و تغییر دهید و بر اساس ان مطالب جدید بوجود اورید برای هر قصدی حتی تجاری,infopankki
under the following terms,با شروط زیر,infopankki
attribution by you must mention the source,ارجاع دهید شما باید مرجع را ذکر کنید,infopankki
provide a link to the website and mention the licence cc by 40,به صفحات پیوند دهید و پروانه 4 0 را ذکر کنید,infopankki
indicate if you have made changes to the material,در صورتی که تغییری در مطالب انجام داده اید ذکر نمایید,infopankki
you may do so in any reasonable manner but not in any way that suggests infofinland endorses you or your use of infofinlands material,شما می توانید این کار را به هر شیوه معقولی انجام دهید اما نه به روشی که وانمود کنید که شما را یا استفاده شما از مطالب را توصیه می کند,infopankki
no additional restrictions you may not apply legal terms or technological measures that legally restrict others from doing anything the licence permits,محدودیت دیگری اضافه نکنید شما نمی توانید شرایط قانونی یا اقدامات فنی تعیین کنید که به طور قانونی دیگران را از انجام اموری که در چارچوب پروانه مذکور ازاد است منع کند,infopankki
attribution 40 internationalfinnish swedish english russian french spanish turkish chinese persian arabic german portuguese polish norwegian,تخصیص 4 0 بین المللیفنلاندی سویدی انگلیسی روسی فرانسوی اسپانیایی ترکی چینی فارسی عربی المانی پرتغالی لهستانی نروژی,infopankki
dutch croatian romanian hungarian japanese italian,هلندی کرواتی رومانیایی مجارستانی ژاپنی ایتالیایی,infopankki
information about the interfacefinnish english,فنلاندی انگلیسی,infopankki
using infofinland texts elsewhere,استفاده از متون و نوشته های در جای دیگر,infopankki
the texts of the infofinland service are used in the following services,متون و نوشته های خدمات اینترنتی در خدمات زیر نیز مورد استفاده هستند,infopankki
basic information,اطلاعات پایه ای,infopankki
turku is the oldest city of finland and the former capital of the country,تورکوقدیمی ترین شهرفنلاند وپایتخت سابق ان میباشد,infopankki
turku is also one of finlands biggest cities and its population is approximately 180 000,تورکوهمچنان یکی ازشهرهای بزرگ کشورفنلاند میباشد,infopankki
turku is located in the region of southwest finland and it is the capital of the province of western finland,تورکودر ایالت وارسینایس سوﺌومی قرارداشته وبعنوان مرکزاستان غربی فنلاند بشمارمیاید,infopankki
turku is officially a bilingual city and roughly 5 of its inhabitants speak swedish as their mother tongue,تورکوبطوررسمی یک شهردوزبانه بشمارمیاید وزبان مادری حدود 5 درصد ازجمعیت ان زبان سوﺌدی میباشد,infopankki
